node_id,latitude,longitude,address,city
OCXDEKBXSOTWAMKTY2NE,Unknown,41.781673,1.836865,"Carrer Roger De Flor, 13, 08251 Santpedor, Barcelona, Spain",Castellnou de Bages
ECRUZHIIAGIOZKI33QIN,Unknown,41.48536,1.919567,"Carrer Marie Curie, 1, 08760 Martorell, Barcelona, Spain",Martorell
BQQBXPNWVYXRK4UHHNHJ,Unknown,41.915398,1.18543,"Avinguda Font De Valldans, 1, 25740 Ponts, Lérida, Spain",Ponts
K39EMIBPEK3CQGWUHUXV,Unknown,41.491707,1.913204,"Camí De Can Bros, 38, 08760 Martorell, Barcelona, Spain",Martorell
IRUBSSX70LXOONWHFP1U,Unknown,41.476974,1.914794,"Rambla De Les Bòbiles, 14",Martorell
DFE0CV0281NGMMCUOOAA,Unknown,41.471725,1.911494,"Carrer De Gelida, 53",Martorell
T2SGTVTO99DBTC72FG8M,Unknown,41.475666,1.928167,"C. Revall, Barcelona",Martorell
BF26TBP9AUUNKYFNEOKI,Unknown,41.482094,1.91152,"Carrer D'enric Prat De La Riba, 38",Martorell
GCPSPV4Z1JP5X0ZP3DSS,Ajuntament de Martorell - SELBA EdRSR 1,41.48087,1.914528,"Av. Francesc Riera, S/N",Martorell
XUMPMS8IW71EQ9PEKVSZ,Ajuntament de Martorell - SELBA EdRSR 2,41.484844,1.913873,"Carrer Josep Vilar, S/N, Pavelló Can Cases",Martorell
FGAZYSDCSTSAYKLVRSWO,Ajuntament de Martorell - SELBA EdRSR 3,41.478325,1.911591,"Carrer Nou Vial, S/N",Martorell
IEKELUW13WSVOLYRJS6Q,Unknown,41.48068,1.92429,"Av. Joaquim De Barnola I Bassols, 24,",Martorell
MHIIZLIRFKVVB1GGKPNP,Unknown,41.4721,1.920596,"Av. Mancomunitats Comarcals, 1, 3",Martorell
BKTQDJBHPURPBN3HST6U,Unknown,41.465214,1.948633,"Avinguda Del Congost, 11",Martorell
HTARXCZTTJ087JDQ2QLA,Unknown,41.99612,1.517235,"Vall Fred, 1, 25280 Solsona, Lleida, Spain",Olius
43T1BJSH0ETKN8HYLI7W,Unknown,41.993477,1.515356,"Plaça Del Camp, 2, 25280 Solsona, Lleida, Spain",Olius
SA86RBFCST3RCR1AEA2P,Unknown,41.695663,2.440322,"Carrer D'en Jaume I, 35, 08460 Santa Maria De Palautordera, Barcelona, Spain",Montseny
GLOSODBPHRX6Z6AYHXNZ,Unknown,42.250843,2.910867,"Diseminado Mas Margall, 11, 17742 Avinyonet De Puigventós, Girona, Spain",Avinyonet de Puigventós
OYQ4MYZFPSQGWMU16DDP,Unknown,40.71757,0.492192,"Carrer Isaac Peral, 13, 43570 Santa Bàrbara, Tarragona, Spain",Santa Bàrbara
C1RCVJM1IHBLM9WCFVN1,Unknown,42.006065,2.294342,"Carrer Eduard Rifà, 76",Manlleu
